factor_id,coverage_scope,public_geography_id,bridge_municipality,factor_municipality,factor_value,factor_match,coverage_status
population_density,bridge_safe_2025_geography,44086,Nazareth-De Pinte,Nazareth-De Pinte,442.9985,true,matched_factor_source
population_density,bridge_safe_2025_geography,44087,Lochristi,Lochristi,324.4412,true,matched_factor_source
population_density,bridge_safe_2025_geography,44088,Merelbeke-Melle,Merelbeke-Melle,713.967,true,matched_factor_source
population_density,bridge_safe_2025_geography,45035,Oudenaarde,Audenarde,477.8064,true,matched_factor_source
population_density,bridge_safe_2025_geography,45041,Ronse,Renaix,794.7301,true,matched_factor_source
population_density,bridge_safe_2025_geography,45059,Brakel,Brakel,265.559,true,matched_factor_source
population_density,bridge_safe_2025_geography,45060,Kluisbergen,Kluisbergen,224.2252,true,matched_factor_source
population_density,bridge_safe_2025_geography,45061,Wortegem-Petegem,Wortegem-Petegem,154.1022,true,matched_factor_source
population_density,bridge_safe_2025_geography,45062,Horebeke,Horebeke,180.1317,true,matched_factor_source
population_density,bridge_safe_2025_geography,45063,Lierde,Lierde,260.6018,true,matched_factor_source
population_density,bridge_safe_2025_geography,45064,Maarkedal,Maarkedal,136.9316,true,matched_factor_source
population_density,bridge_safe_2025_geography,45065,Zwalm,Zwalin,246.4161,true,matched_factor_source
